43.449.928,39.956.589,55.606.186,49.278.728
46.283.333,48.006.278,55.606.186,49.278.728
46.283.333,48.006.278,44.225.072,43.081.889
55.305.836,61.503.333,55.606.186,49.278.728
55.305.836,61.503.333,55.012.622,82.650.656
55.408.611,37.906.111,55.606.186,49.278.728
55.408.611,37.906.111,55.34,52.06
55.408.611,37.906.111,54.64,528.017
506.438,365.901,5.489.005,20.592.633
506.438,365.901,55.606.186,49.278.728
404.675,50.046.667,55.34,52.06
5.489.005,20.592.633,506.438,365.901
55.606.186,49.278.728,43.449.928,39.956.589
55.606.186,49.278.728,46.283.333,48.006.278
55.606.186,49.278.728,55.305.836,61.503.333
55.606.186,49.278.728,55.408.611,37.906.111
55.606.186,49.278.728,506.438,365.901
55.606.186,49.278.728,59.800.292,30.262.503
55.606.186,49.278.728,56.743.108,60.802.728
59.800.292,30.262.503,55.606.186,49.278.728
59.800.292,30.262.503,55.34,52.06
59.800.292,30.262.503,54.64,528.017
44.225.072,43.081.889,46.283.333,48.006.278
55.34,52.06,55.408.611,37.906.111
55.34,52.06,404.675,50.046.667
55.34,52.06,59.800.292,30.262.503
55.34,52.06,56.743.108,60.802.728
60.949.272,76.483.617,56.743.108,60.802.728
60.949.272,76.483.617,54.64,528.017
66.041.811,76.313.938,56.743.108,60.802.728
55.012.622,82.650.656,55.305.836,61.503.333
55.012.622,82.650.656,56.743.108,60.802.728
56.743.108,60.802.728,55.606.186,49.278.728
56.743.108,60.802.728,55.34,52.06
56.743.108,60.802.728,60.949.272,76.483.617
56.743.108,60.802.728,66.041.811,76.313.938
56.743.108,60.802.728,55.012.622,82.650.656
54.64,528.017,55.408.611,37.906.111
54.64,528.017,59.800.292,30.262.503
54.64,528.017,60.949.272,76.483.617
56.370.556,101.698.331,52.268.028,104.388.975
56.370.556,101.698.331,55.012.622,82.650.656
55.305.836,61.503.333,55.012.622,82.650.656
52.026.317,113.305.556,52.268.028,104.388.975
52.268.028,104.388.975,56.370.556,101.698.331
52.268.028,104.388.975,52.026.317,113.305.556
52.268.028,104.388.975,575.137,1.141.348
52.268.028,104.388.975,55.012.622,82.650.656
52.268.028,104.388.975,56.85,1.057.167
52.268.028,104.388.975,60.723,114.825
52.268.028,104.388.975,6.209.325,129.770.672
62.534.689,114.038.928,55.012.622,82.650.656
575.137,1.141.348,52.268.028,104.388.975
55.012.622,82.650.656,56.370.556,101.698.331
55.012.622,82.650.656,55.305.836,61.503.333
55.012.622,82.650.656,52.268.028,104.388.975
56.85,1.057.167,52.268.028,104.388.975
60.723,114.825,52.268.028,104.388.975
6.209.325,129.770.672,52.268.028,104.388.975
-13.154.819,-74.204.417,-12.021.889,-77.114.319
-13.535.722,-71.938.781,-12.021.889,-77.114.319
-13.535.722,-71.938.781,-12.613.611,-69.228.611
-9.878.811,-76.204.797,-12.021.889,-77.114.319
-3.784.739,-73.308.806,-8.377.939,-74.574.297
-3.784.739,-73.308.806,-6.508.742,-76.373.247
-12.021.889,-77.114.319,-13.154.819,-74.204.417
-12.021.889,-77.114.319,-13.535.722,-71.938.781
-12.021.889,-77.114.319,-9.878.811,-76.204.797
-12.021.889,-77.114.319,-8.377.939,-74.574.297
-12.021.889,-77.114.319,-6.508.742,-76.373.247
-8.377.939,-74.574.297,-3.784.739,-73.308.806
-8.377.939,-74.574.297,-12.021.889,-77.114.319
-8.377.939,-74.574.297,-6.508.742,-76.373.247
-12.613.611,-69.228.611,-13.535.722,-71.938.781
-6.508.742,-76.373.247,-3.784.739,-73.308.806
-6.508.742,-76.373.247,-12.021.889,-77.114.319
-6.508.742,-76.373.247,-8.377.939,-74.574.297
5.261.386,-3.926.294,11.160.056,-4.330.969
5.261.386,-3.926.294,12.353.194,-1.512.417
5.605.186,-0.166786,12.353.194,-1.512.417
12.533.544,-7.949.944,5.261.386,-3.926.294
12.533.544,-7.949.944,14.739.708,-17.490.225
12.533.544,-7.949.944,12.353.194,-1.512.417
11.160.056,-4.330.969,5.261.386,-3.926.294
11.160.056,-4.330.969,12.353.194,-1.512.417
6.357.228,2.384.353,6.165.611,1.254.511
6.357.228,2.384.353,12.353.194,-1.512.417
14.739.708,-17.490.225,12.533.544,-7.949.944
14.739.708,-17.490.225,12.353.194,-1.512.417
6.165.611,1.254.511,12.353.194,-1.512.417
13.481.547,2.183.614,12.353.194,-1.512.417
12.353.194,-1.512.417,5.261.386,-3.926.294
12.353.194,-1.512.417,5.605.186,-0.166786
12.353.194,-1.512.417,12.533.544,-7.949.944
12.353.194,-1.512.417,11.160.056,-4.330.969
12.353.194,-1.512.417,6.357.228,2.384.353
12.353.194,-1.512.417,14.739.708,-17.490.225
12.353.194,-1.512.417,6.165.611,1.254.511
12.353.194,-1.512.417,13.481.547,2.183.614
4.701.594,-74.146.947,-2.157.419,-79.883.558
4.701.594,-74.146.947,-0.141144,-78.488.214
3.543.222,-76.381.583,-2.157.419,-79.883.558
-2.157.419,-79.883.558,4.701.594,-74.146.947
-2.157.419,-79.883.558,3.543.222,-76.381.583
-2.157.419,-79.883.558,-0.910206,-8.961.745
-2.157.419,-79.883.558,-0.141144,-78.488.214
-0.462886,-76.986.842,-0.141144,-78.488.214
-0.910206,-8.961.745,-2.157.419,-79.883.558
-0.141144,-78.488.214,4.701.594,-74.146.947
-0.141144,-78.488.214,-2.157.419,-79.883.558
-0.141144,-78.488.214,-0.462886,-76.986.842
40.657.633,17.947.033,47.464.722,8.549.167
44.828.335,-0.715556,47.464.722,8.549.167
51.382.669,-2.719.089,47.464.722,8.549.167
46.238.064,610.895,27.931.886,-15.386.586
34.875.117,3.362.485,47.464.722,8.549.167
27.931.886,-15.386.586,47.464.722,8.549.167
25.557.111,34.583.711,47.464.722,8.549.167
28.044.475,-16.572.489,46.238.064,610.895
47.464.722,8.549.167,40.657.633,17.947.033
47.464.722,8.549.167,44.828.335,-0.715556
47.464.722,8.549.167,51.382.669,-2.719.089
47.464.722,8.549.167,34.875.117,3.362.485
47.464.722,8.549.167,27.931.886,-15.386.586
47.464.722,8.549.167,25.557.111,34.583.711
65.590.278,19.281.944,64.548.322,18.716.219
59.651.944,17.918.611,67.132.408,20.814.636
59.651.944,17.918.611,56.691.128,12.820.211
59.651.944,17.918.611,57.757.594,14.068.731
59.651.944,17.918.611,63.048.597,17.768.856
59.651.944,17.918.611,594.447,133.374
59.651.944,17.918.611,64.548.322,18.716.219
59.651.944,17.918.611,60.122.203,19.898.156
59.651.944,17.918.611,63.408.339,18.990.039
59.651.944,17.918.611,61.461.686,21.799.983
59.651.944,17.918.611,59.186.703,10.258.628
59.651.944,17.918.611,57.662.797,18.346.211
59.651.944,17.918.611,64.579.083,16.833.575
59.651.944,17.918.611,56.929.144,14.727.994
67.132.408,20.814.636,59.651.944,17.918.611
67.132.408,20.814.636,63.048.597,17.768.856
56.691.128,12.820.211,59.651.944,17.918.611
56.691.128,12.820.211,57.757.594,14.068.731
56.691.128,12.820.211,56.929.144,14.727.994
65.806.111,15.082.778,64.579.083,16.833.575
57.757.594,14.068.731,59.651.944,17.918.611
57.757.594,14.068.731,56.691.128,12.820.211
63.721.172,23.143.131,61.461.686,21.799.983
63.048.597,17.768.856,59.651.944,17.918.611
63.048.597,17.768.856,67.132.408,20.814.636
594.447,133.374,59.651.944,17.918.611
64.548.322,18.716.219,65.590.278,19.281.944
64.548.322,18.716.219,59.651.944,17.918.611
60.122.203,19.898.156,59.651.944,17.918.611
60.122.203,19.898.156,60.514.142,22.262.808
63.408.339,18.990.039,59.651.944,17.918.611
60.193.917,11.100.361,56.929.144,14.727.994
61.461.686,21.799.983,59.651.944,17.918.611
61.461.686,21.799.983,63.721.172,23.143.131
60.514.142,22.262.808,60.122.203,19.898.156
59.186.703,10.258.628,59.651.944,17.918.611
57.662.797,18.346.211,59.651.944,17.918.611
64.579.083,16.833.575,59.651.944,17.918.611
64.579.083,16.833.575,65.806.111,15.082.778
56.929.144,14.727.994,59.651.944,17.918.611
56.929.144,14.727.994,60.193.917,11.100.361
57.749.967,-152.493.856,57.471.389,-153.815.278
57.749.967,-152.493.856,58.190.833,-152.370.556
57.749.967,-152.493.856,57.535,-153.976.667
57.749.967,-152.493.856,57.922.876,-152.500.511
57.749.967,-152.493.856,57.218.056,-153.269.722
57.471.389,-153.815.278,57.55,-153.75
58.190.833,-152.370.556,58.166.667,-152.5
57.535,-153.976.667,57.566.944,-154.450.278
